theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Banks_and_Regional_Lenders,AXISBANK,A,-1.431,0.8452,5.0,16.5307,33.0,14
Banks_and_Regional_Lenders,INDIANB,A,-1.2721,0.8434,6.0,18.6738,25.0,21
Banks_and_Regional_Lenders,FEDERALBNK,A,-0.3204,0.4592,8.0,12.3252,19.0,17
Banks_and_Regional_Lenders,KARURVYSYA,Core,-0.2217,0.4762,10.0,9.778,21.0,21
Banks_and_Regional_Lenders,CUB,Core,-0.1293,0.4784,10.0,13.6961,22.0,21
Banks_and_Regional_Lenders,UJJIVANSFB,Core,0.4989,0.5618,13.0,34.635,40.0,21
Banks_and_Regional_Lenders,PNB,B,0.9083,0.4307,16.25,25.4401,57.5,18
Banks_and_Regional_Lenders,CANBK,B,1.0488,-0.003,7.0,27.5282,40.0,18
Banks_and_Regional_Lenders,IDFCFIRSTB,B,1.2868,0.2312,14.0,30.8493,46.0,18
NBFC_and_Credit_Platforms,MANAPPURAM,A,-3.0985,0.8441,1.0,6.8946,11.0,14
NBFC_and_Credit_Platforms,CHOLAFIN,A,-2.2105,0.8859,3.0,20.8525,35.0,27
NBFC_and_Credit_Platforms,AADHARHFC,Core,-0.2698,0.5368,9.0,7.9117,22.0,15
NBFC_and_Credit_Platforms,MUTHOOTFIN,Core,0.1063,0.6152,10.0,14.9963,15.0,27
NBFC_and_Credit_Platforms,BAJFINANCE,Core,0.315,0.702,10.0,28.2292,35.0,27
NBFC_and_Credit_Platforms,LTF,B,0.3664,0.8679,10.5,32.5491,23.0,18
NBFC_and_Credit_Platforms,SHRIRAMFIN,B,1.7842,-0.0234,13.0,14.3703,28.0,18
Insurance_and_Protection_Finance,SBILIFE,A,-1.063,0.964,0.0,15.0516,21.0,14
Insurance_and_Protection_Finance,HDFCLIFE,Core,0.0,0.4213,10.0,20.8448,33.0,23
Insurance_and_Protection_Finance,ABCAPITAL,B,0.3745,0.2985,10.0,26.7584,36.0,21
Capital_Markets_and_Wealth,BSE,A,-0.7022,0.6341,6.0,8.3811,7.0,17
Capital_Markets_and_Wealth,MCX,A,-0.4956,0.8692,5.5,14.9728,9.0,34
Capital_Markets_and_Wealth,NUVAMA,Core,-0.3049,0.873,7.25,10.9737,25.0,18
Capital_Markets_and_Wealth,360ONE,Core,0.2514,0.6263,8.0,12.4137,25.0,27
Capital_Markets_and_Wealth,MFSL,B,0.452,0.0676,7.0,12.8268,13.0,17
Capital_Markets_and_Wealth,IIFL,B,13.3858,-0.0458,44.0,31.897,67.0,21
Auto_Ancillaries_and_Components,FIEMIND,A,-0.77,0.905,0.0,13.4164,28.0,18
Auto_Ancillaries_and_Components,LUMAXTECH,Core,-0.6206,0.8802,0.0,14.881,28.0,18
Auto_Ancillaries_and_Components,SJS,Core,-0.1686,0.2761,4.0,13.0709,15.0,21
Auto_Ancillaries_and_Components,CRAFTSMAN,Core,1.2639,0.0486,9.0,23.0935,38.0,17
Auto_Ancillaries_and_Components,MSUMI,B,3.4941,-0.1094,33.5,26.1877,69.0,18
Transport_and_Mobility,ASHOKLEY,A,-0.5467,0.4902,3.0,12.9173,20.5,14
Transport_and_Mobility,EICHERMOT,A,-0.2687,0.5417,12.0,12.2414,16.0,23
Transport_and_Mobility,CARTRADE,Core,-0.1492,0.7273,12.0,21.8601,10.0,27
Transport_and_Mobility,IXIGO,Core,-0.0225,-0.0206,4.0,14.6551,24.0,15
Transport_and_Mobility,ADANIPORTS,Core,0.0164,0.6044,15.0,20.0221,34.0,17
Transport_and_Mobility,DELHIVERY,B,1.4812,-0.077,28.0,33.5211,71.0,21
Transport_and_Mobility,GESHIP,B,1.9764,-0.1164,46.0,25.8587,70.0,14
IT_Services_and_BPM,ECLERX,A,-0.2143,0.7111,7.5,14.4029,28.0,18
IT_Services_and_BPM,COFORGE,Core,-0.0337,0.7471,6.0,20.9246,24.0,27
IT_Services_and_BPM,SAGILITY,B,0.738,0.4721,3.0,19.3225,30.0,9
Telecom_and_Digital_Consumer,BHARTIARTL,A,-0.5439,0.2403,6.5,7.6217,15.0,17
Telecom_and_Digital_Consumer,ETERNAL,Core,-0.3759,0.6969,13.5,12.6334,16.0,23
Telecom_and_Digital_Consumer,PAYTM,Core,-0.0987,0.4799,10.0,35.7505,15.0,27
Telecom_and_Digital_Consumer,IDEA,B,5.2115,0.1191,67.0,33.1778,89.0,17
Base_Metals_Mining_and_Commodities,HINDALCO,A,-6.5763,0.8617,0.0,19.6972,29.0,18
Base_Metals_Mining_and_Commodities,HINDCOPPER,Core,0.5622,0.7092,11.0,31.9142,52.0,23
Base_Metals_Mining_and_Commodities,HINDZINC,Core,0.7939,-0.0164,10.5,11.7328,29.0,14
Base_Metals_Mining_and_Commodities,GMDCLTD,Core,1.2043,-0.2689,10.0,29.6328,22.5,14
Base_Metals_Mining_and_Commodities,VEDL,B,3.1378,0.8244,16.0,17.4281,32.0,17
Steel_and_Engineering_Materials,HEG,A,-0.7482,0.8626,6.0,11.9275,27.5,14
Steel_and_Engineering_Materials,JSWSTEEL,A,-0.2188,0.6098,8.5,14.6676,21.0,18
